"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","Iowa",73.0279,35,70.8195,39,106.736,104,112.393,47,104.149,192,101.792,108,10.6011,70
"2017","Iowa St.",70.637,109,67.778,170,112.325,27,119.562,13,100.85,108,96.3917,43,23.1706,17
"2017","IUPUI",71.5585,70,68.8011,103,107.11,96,106.955,126,110.211,315,109.646,275,-2.69081,198
"2017","Jackson St.",65.6804,318,63.8832,316,96.7393,306,92.7277,336,102.533,149,108.935,256,-16.2075,329
"2017","Jacksonville",69.7958,156,67.4221,196,106.324,116,102.27,216,108.616,284,111.748,304,-9.47751,273
"2017","Jacksonville St.",64.9709,331,63.1956,329,105.63,129,105.388,152,103.909,185,104.799,178,0.588652,158
"2017","James Madison",65.6849,316,63.4818,325,99.1394,258,98.8592,275,104.746,200,103.987,164,-5.12793,220
"2017","Kansas",71.434,77,69.8519,67,114.544,14,120.829,9,100.058,82,94.8203,28,26.0089,10
"2017","Kansas St.",67.7335,264,65.8724,265,106.661,106,112.844,43,99.2564,66,94.9123,29,17.9316,28
"2017","Kennesaw St.",71.0821,89,68.9179,100,104.731,150,102.648,206,108.559,282,109.94,282,-7.29211,251
"2017","Kent St.",70.382,123,67.91,159,105.728,126,104.419,169,101.445,126,102.667,133,1.75154,141
"2017","Kentucky",74.8355,13,72.3629,16,114.251,16,119.098,14,95.2333,23,91.9475,10,27.1508,4
"2017","La Salle",69.2358,191,68.1738,139,107.482,90,110.684,65,108.854,289,108.625,250,2.05861,137
"2017","Lafayette",69.7173,160,68.8335,102,93.435,333,96.146,316,109.146,295,113.346,321,-17.1999,330
"2017","Lamar",69.7156,161,67.4831,189,104.919,144,103.07,195,103.68,176,108.962,257,-5.89189,227
"2017","Lehigh",70.0407,140,69.1661,92,106.4,114,107.219,120,99.5684,70,103.358,153,3.86061,119
"2017","Liberty",63.9211,343,62.3248,341,101.898,202,99.9293,257,100.135,86,103.552,158,-3.62277,206
"2017","Lipscomb",75.6623,8,73.7141,6,108.876,68,107.199,121,105.01,205,106.883,216,0.316267,163
"2017","Little Rock",65.4842,322,62.8127,335,100.201,240,98.2536,287,103.899,183,104.89,180,-6.63618,240
"2017","LIU Brooklyn",68.4616,234,66.5108,233,102.436,193,100.144,254,101.095,116,107.689,230,-7.54508,252
"2017","Long Beach St.",71.0448,91,69.1239,93,101.67,204,104.559,166,108.306,275,110.167,287,-5.60785,224
"2017","Longwood",70.8674,101,69.9933,61,93.0655,337,92.3141,338,114.202,338,117.124,343,-24.8096,347
"2017","Louisiana Lafayette",72.7935,38,71.8161,24,110.285,48,111.176,59,106.41,236,109.509,270,1.66733,142
"2017","Louisiana Monroe",65.8904,313,64.5403,304,97.1061,300,98.3592,285,105.113,207,106.559,211,-8.19967,259
"2017","Louisiana Tech",70.2631,129,68.0615,149,108.884,67,107.832,112,95.4133,28,100.913,93,6.91902,92
"2017","Louisville",68.8944,212,67.5905,179,111.755,34,117.072,23,95.3044,25,90.4474,7,26.6247,6
"2017","Loyola Chicago",66.2469,306,65.2277,282,106.713,105,108.856,91,100.19,89,102.351,121,6.50529,95
"2017","Loyola Marymount",68.5648,229,66.8032,218,101.39,214,103.156,193,103.709,178,103.158,144,-0.00221505,167
"2017","Loyola MD",66.4805,297,65.0657,290,97.5418,295,98.6569,279,102.313,145,105.922,194,-7.26539,250
